No,レアリティ,COST,名称,HP (Lv1),HP (MAX),ATK (Lv1),ATK (MAX),効果,効果 (最大解放),備考,イラストレーター,フレーバーテキスト,攻撃力,宝具威力,ダメージプラス,特攻状態を付与,バスター,クイック,アーツ,クリティカル威力アップ,スター発生率,スター集中,毎ターンスター獲得,必中・無敵貫通,弱体付与率,防御無視を付与,防御力,ダメージカット,特防状態を付与,ガッツ状態を付与,回避・無敵,弱体耐性,弱体無効,HP毎ターン回復,HP回復量,HP最大値上昇,NPチャージ,NP獲得量,NP毎ターン獲得,ターゲット集中状態を付与,宝具チャージ段階上昇,退場時,報酬増加系,強化耐性,絆礼装,バレンタイン礼装
1,1,1,頑強,100,300,0,0,自身の防御力を3%アップする,自身の防御力を5%アップする[最大開放],,---,堅牢なるもの。<br>修練は肉体を巌に変える。 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1,1,瞑想,150,450,0,0,自身の弱体耐性を5%アップする,自身の弱体耐性を10%アップする[最大開放],,---,静寂なるひと時。<br>人は己の起源を知る。,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1,1,技巧,0,0,100,300,自身のArtsカードの性能を3%アップする,自身のArtsカードの性能を5%アップする[最大開放],,---,文明の担い手。<br>技術とは人の可能性である。,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1,1,先制,0,0,100,300,自身のQuickカードの性能を3%アップする,自身のQuickカードの性能を5%アップする[最大開放],,---,先んずれば人を制す。<br>後るれば則ち人の制する所と為る。,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,1,1,破壊,0,0,100,300,自身のBusterカードの性能を3%アップする,自身のBusterカードの性能を5%アップする[最大開放],,---,崩壊せよ。<br>新生の時は来たれり。,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2,3,閃光,0,0,150,500,自身のクリティカル威力を5%アップする,自身のクリティカル威力を10%アップする[最大開放],,---,刹那の見切り。<br>紫電一閃、天を割く。,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2,3,好機,112,375,75,250,自身のスター発生率を5%アップする,自身のスター発生率を10%アップする[最大開放],,---,千載一遇。<br>好機逸すべからず。,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2,3,豊穣,112,375,75,250,自身のNPを10%チャージした状態でバトルを開始する,自身のNPを20%チャージした状態でバトルを開始する[最大開放],,---,収穫の時。<br>実りに喜びを、大地に感謝を。,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-
9,2,3,集中,112,375,75,250,自身のNP獲得量を5%アップする,自身のNP獲得量を10%アップする[最大開放],,---,一意専心。<br>精神一致何事か成らざらん。,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-
10,2,3,天啓,0,0,150,500,自身の宝具威力を5%アップする,自身の宝具威力を10%アップする[最大開放],,---,一意専心。<br>精神一致何事か成らざらん。,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
